Test,Token Usage,Latency
1,2457,16.636
2,2582,21.788
3,2987,30.579
4,2965,30.814
5,2619,18.439
6,2559,15.87
7,2595,17.866
8,2534,15.093
9,2439,14.474
10,2498,14.722
11,2593,18.594
12,2431,6.825
13,2811,24.978
14,2917,24.966
15,2721,21.3
16,2802,33.118
